Conversation ID,Profile,Duration (s),Status,Questions
chat_20251016_132646_batch_1,ppd_probable,54.89,completed,10
chat_20251016_132741_batch_2,ppd_urgent,55.55,completed,10
chat_20251016_132837_batch_3,ppd_possible,51.00,completed,10
chat_20251016_132928_batch_4,ppd_high,52.95,completed,10
chat_20251016_133021_batch_5,ppd_low,52.66,completed,10
chat_20251016_133114_batch_6,ppd_urgent,55.03,completed,10
chat_20251016_133209_batch_7,ppd_high,52.10,completed,10
chat_20251016_133301_batch_8,ppd_possible,55.24,completed,10
chat_20251016_133356_batch_9,ppd_high,54.52,completed,10
chat_20251016_133451_batch_10,ppd_high,72.21,completed,10
chat_20251016_133603_batch_11,ppd_high,53.99,completed,10
chat_20251016_133657_batch_12,ppd_possible,60.56,completed,10
chat_20251016_133757_batch_13,ppd_urgent,54.44,completed,10
chat_20251016_133852_batch_14,ppd_high,52.19,completed,10
chat_20251016_133944_batch_15,ppd_probable,56.03,completed,10
chat_20251016_134040_batch_16,ppd_possible,59.72,completed,10
chat_20251016_134140_batch_17,ppd_high,55.53,completed,10
chat_20251016_134235_batch_18,ppd_possible,56.61,completed,10
chat_20251016_134332_batch_19,ppd_low,50.05,completed,10
chat_20251016_134422_batch_20,ppd_low,49.23,completed,10
chat_20251016_134511_batch_21,ppd_probable,56.12,completed,10
chat_20251016_134607_batch_22,ppd_high,73.78,completed,10
chat_20251016_134721_batch_23,ppd_low,49.85,completed,10
chat_20251016_134811_batch_24,ppd_urgent,56.99,completed,10
chat_20251016_134908_batch_25,ppd_low,51.65,completed,10
chat_20251016_135000_batch_26,ppd_possible,60.94,completed,10
chat_20251016_135101_batch_27,ppd_probable,56.03,completed,10
chat_20251016_135157_batch_28,ppd_probable,53.98,completed,10
chat_20251016_135251_batch_29,ppd_possible,52.49,completed,10
chat_20251016_135343_batch_30,ppd_possible,54.15,completed,10
chat_20251016_135437_batch_31,ppd_urgent,56.55,completed,10
chat_20251016_135534_batch_32,ppd_high,52.78,completed,10
chat_20251016_135627_batch_33,ppd_high,55.04,completed,10
chat_20251016_135722_batch_34,ppd_low,50.36,completed,10
chat_20251016_135812_batch_35,ppd_possible,51.79,completed,10
chat_20251016_135904_batch_36,ppd_probable,55.93,completed,10
chat_20251016_140000_batch_37,ppd_urgent,56.96,completed,10
chat_20251016_140057_batch_38,ppd_urgent,65.81,completed,10
chat_20251016_140203_batch_39,ppd_possible,58.56,completed,10
chat_20251016_140301_batch_40,ppd_high,57.16,completed,10
chat_20251016_140358_batch_41,ppd_urgent,59.97,completed,10
chat_20251016_140458_batch_42,ppd_low,55.24,completed,10
chat_20251016_140554_batch_43,ppd_high,56.67,completed,10
chat_20251016_140650_batch_44,ppd_probable,59.25,completed,10
chat_20251016_140749_batch_45,ppd_urgent,56.74,completed,10
chat_20251016_140846_batch_46,ppd_urgent,56.05,completed,10
chat_20251016_140942_batch_47,ppd_high,60.19,completed,10
chat_20251016_141043_batch_48,ppd_possible,57.04,completed,10
chat_20251016_141140_batch_49,ppd_probable,53.12,completed,10
chat_20251016_141233_batch_50,ppd_urgent,54.25,completed,10
chat_20251016_141327_batch_51,ppd_possible,52.56,completed,10
chat_20251016_141420_batch_52,ppd_low,50.83,completed,10
chat_20251016_141510_batch_53,ppd_possible,55.05,completed,10
chat_20251016_141605_batch_54,ppd_possible,55.70,completed,10
chat_20251016_141701_batch_55,ppd_probable,53.10,completed,10
chat_20251016_141754_batch_56,ppd_possible,55.74,completed,10
chat_20251016_141850_batch_57,ppd_low,54.76,completed,10
chat_20251016_141945_batch_58,ppd_high,54.95,completed,10
chat_20251016_142040_batch_59,ppd_probable,52.48,completed,10
